Polling Firm,Fieldwork Start,Fieldwork End,Period Estimated,Scope,Variant,Sample Size,Participation Rate,Participation,Precision,ANO,ODS,Piráti,SPD,Stačilo!,KSČM,SOCDEM,KDU-ČSL,TOP 09,STAN,Svobodní,Zelení,Úsvit,Trikolóra,STAN-TOP,ČSL-STAN,SPOLU,Pir-STAN,TSS,Přísaha,AUTO,Přísaha+AUTO,VB,PRO,DSSS,SPOZ,VV,US-DEU,Koalice,DEU,SPR-RSC,NEZ,SNK-ED,SŽJ,ODA,LB,HSMS-MNS,ODS+KDS,LB+KSČM,LSU,ZS,ČSS,OH,KDS,Other,Source
Ipsos,2025-08-27,2025-08-31,FALSE,National,,1095,0.65,,0.1,0.322,,0.076,0.115,0.071,,,,,0.109,,,,,,,0.215,,,0.022,0.056,,,,,,,,,,,,,,,,,,,,,,,,0.014,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-09/Tiskova%CC%81%20zpra%CC%81va%20Ipsos_volebn%C3%AD%20model%20srpen_03_09_2025.pdf
Median,2025-08-01,2025-08-31,FALSE,National,,1020,0.575,589,0.5,0.305,,0.065,0.14,0.09,,,,,0.11,,,,,,,0.195,,,0.015,0.05,,,,,,,,,,,,,,,,,,,,,,,,0.03,https://www.median.eu/cs/wp-content/uploads/2025/09/Volby_PS_2025_08_02.pdf
STEM,2025-08-07,2025-08-26,FALSE,National,,1548,0.64,,0.1,0.312,,0.089,0.128,0.065,,,,,0.101,,,,,,,0.209,,,0.034,0.051,,,,,,,,,,,,,,,,,,,,,,,,0.012,https://cnn.iprima.cz/exkluzivni-model-spd-se-podarilo-zvratit-propad-motoriste-by-znovu-zaparkovali-ve-snemovne-484156
Kantar,2025-08-04,2025-08-22,FALSE,National,,1200,0.8,1029,0.5,0.33,,0.095,0.105,0.06,,,,,0.12,,,,,,,0.2,,,0.02,0.055,,,,,,,,,,,,,,,,,,,,,,,,0.015,https://ct24.ceskatelevize.cz/clanek/domaci/v-srpnovem-modelu-kantaru-posiluji-pirati-stacilo-i-motoriste-364556
NMS,2025-08-01,2025-08-05,FALSE,National,,1014,0.618,,0.1,0.298,,0.088,0.146,0.082,,,,,0.107,,,,,,,0.187,,,0.026,0.057,,,,,,,,,,,,,,,,,,,,,,,,,https://nms.global/cz/volebni-model-srpen-2025-opozicni-blok-mobilizuje-spolu-nove-volice-nepritahuje/
STEM,2025-07-17,2025-08-05,FALSE,National,,1551,0.64,,0.1,0.311,,0.081,0.132,0.08,,,,,0.105,,,,,,,0.213,,,0.022,0.049,,,,,,,,,,,,,,,,,,,,,,,,0.006,https://cnn.iprima.cz/ekxluzivne-spolu-po-kauze-bitcoin-posiluje-motoriste-by-se-do-snemovny-tesne-nedostali-482478
Ipsos,2025-07-28,2025-08-02,FALSE,National,,1021,0.63,,0.1,0.349,,0.086,0.114,0.063,,,,,0.1,,,,,,,0.219,,,0.02,0.039,,,,,,,,,,,,,,,,,,,,,,,,0.011,https://www.ipsos.com/sites/default/files/ct/publication/documents/2025-08/Tiskova%CC%81%20zpra%CC%81va%20Ipsos_volebn%C3%AD%20model%20%C4%8Dervenec_06_08_2025.pdf
Median,2025-07-01,2025-07-31,FALSE,National,,1015,0.59,603,0.5,0.33,,0.075,0.14,0.05,,0.03,,,0.11,,,,,,,0.195,,,0.015,0.045,,,,,,,,,,,,,,,,,,,,,,,,0.01,https://www.median.eu/cs/wp-content/uploads/2025/08/Volby_PS_2025_07.pdf
STEM,2025-06-28,2025-07-15,FALSE,National,,1561,0.63,,0.1,0.315,,0.081,0.128,0.074,,0.027,,,0.122,,,,,,,0.194,,,0.02,0.035,,,,,,,,,,,,,,,,,,,,,,,,0.004,https://cnn.iprima.cz/exkluzivni-vyzkum-pirati-a-stacilo-maji-nejlepsi-letosni-vysledek-stan-znatelne-oslabil-480512
NMS,2025-07-02,2025-07-07,FALSE,National,,1002,0.615,,0.1,0.287,,0.079,0.133,0.058,,0.022,,,0.12,,,,,,,0.215,,,0.032,0.032,,,,,,,,,,,,,,,,,,,,,,,,,https://nms.global/cz/volebni-model-cervenec-2025-spolu-ustalo-blazka-pirati-s-podporou-zelenych-rostou-motoriste-v-problemech/
Median,2025-06-01,2025-06-30,FALSE,National,,1022,0.59,602,0.5,0.32,,0.08,0.14,0.055,,0.015,,,0.09,,,,,,,0.19,,,0.025,0.055,,,,,,,,,,,,,,,,,,,,,,,,0.025,https://www.median.eu/cs/wp-content/uploads/2025/07/Volby_PS_2025_06_v07VD.pdf
Ipsos,2025-06-24,2025-06-29,FALSE,National,,1035,0.62,,0.1,0.351,,0.067,0.105,0.057,,0.023,,,0.108,,,,,,,0.214,,,0.024,0.045,,,,,,,,,,,,,,,,,,,,,,,,0.006,https://www.ipsos.com/sites/default/files/ct/publication/documents/2025-07/Tiskova%CC%81%20zpra%CC%81va%20Ipsos_volebn%C3%AD%20model%20%C4%8Derven_2025.pdf
STEM,2025-06-06,2025-06-25,FALSE,National,,1555,0.59,,0.1,0.319,,0.078,0.13,0.046,,0.029,,,0.106,,,,,,,0.208,,,0.029,0.048,,,,,,,,,,,,,,,,,,,,,,,,0.007,https://cnn.iprima.cz/partie-exkluzivni-model-spolu-nesili-pirati-ano-stacilo-ma-prusvih-nedostalo-by-se-do-snemovny-478804
Kantar,2025-06-09,2025-06-20,FALSE,National,"w/o SPOLU, SPD+",1200,,1017,0.5,0.335,0.145,0.07,0.1,,0.035,,0.03,0.045,0.115,,0.02,,,,,,,,,0.045,,,,,,,,,,,,,,,,,,,,,,,,0.06,https://ct24.ceskatelevize.cz/clanek/domaci/spolu-si-v-modelu-kantaru-udrzelo-podporu-bitcoinove-kauze-navzdory-362414
Kantar,2025-06-09,2025-06-20,FALSE,National,,1200,,1016,0.5,0.335,,0.075,0.115,0.045,,,,,0.115,,0.02,,,,,0.21,,,0.01,0.045,,,,,,,,,,,,,,,,,,,,,,,,0.03,https://ct24.ceskatelevize.cz/clanek/domaci/spolu-si-v-modelu-kantaru-udrzelo-podporu-bitcoinove-kauze-navzdory-362414
STEM,2025-05-23,2025-06-04,FALSE,National,,1552,0.58,,0.1,0.301,,0.062,0.131,0.055,,0.036,,,0.108,,0.016,,,,,0.223,,,0.019,0.04,,,,,,,,,,,,,,,,,,,,,,,,0.009,https://cnn.iprima.cz/exkluzivni-vyzkum-bitcoinova-kauza-zatim-nema-vliv-spolu-paradoxne-posililo-ano-oslabilo-476781
NMS,2025-05-30,2025-06-03,FALSE,National,,1009,0.571,,0.1,0.305,,0.062,0.167,0.052,,0.02,,,0.119,,0.016,,,,,0.197,,,0.013,0.036,,,,,,,,,,,,,,,,,,,,,,,,,https://nms.global/cz/volebni-model-cerven-2025-ano-stale-ve-vedeni-soupereni-mezi-opozicnimi-stranami-roste-vliv-bitcoinove-kauzy-na-podporu-vladni-koalice-se-teprve-ukaze/
Ipsos,2025-05-26,2025-06-01,FALSE,National,,1006,0.63,,0.1,0.341,,0.06,0.101,0.064,,0.027,,,0.099,,0.027,,,,,0.206,,,0.021,0.046,,,,,,,,,,,,,,,,,,,,,,,,0.008,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-06/Tiskova%CC%81%20zpra%CC%81va%20Ipsos_volebn%C3%AD%20model%20kv%C4%9Bten%202025.pdf
Median,2025-05-01,2025-05-31,FALSE,National,,1012,0.53,530,0.5,0.32,,0.055,0.135,0.065,,0.02,,,0.105,,,,,,,0.21,,,0.005,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.03,https://www.median.eu/cs/wp-content/uploads/2025/06/Volby_PS_2025_05.pdf
Kantar,2025-05-12,2025-05-30,FALSE,National,"w/o SPOLU, SPD+",1200,,1013,0.5,0.345,0.15,0.065,0.09,,0.035,0.02,0.03,0.035,0.12,,0.015,,,,,,,,,0.045,,,,,,,,,,,,,,,,,,,,,,,,0.05,https://ct24.ceskatelevize.cz/clanek/domaci/volebnimu-modelu-kantaru-vevodi-ano-spolu-lehce-posililo-361766
Kantar,2025-05-12,2025-05-30,FALSE,National,,1200,,1018,0.5,0.345,,0.065,0.105,0.045,,0.02,,,0.12,,0.015,,,,,0.21,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,0.025,https://ct24.ceskatelevize.cz/clanek/domaci/volebnimu-modelu-kantaru-vevodi-ano-spolu-lehce-posililo-361766
STEM,2025-04-25,2025-05-13,FALSE,National,,1548,,,0.1,0.324,,0.067,0.127,0.066,,0.024,,,0.1,,0.022,,,,,0.209,,,0.019,0.036,,,,,,,,,,,,,,,,,,,,,,,,0.005,https://cnn.iprima.cz/exkluzivni-model-hnuti-ano-potvrzuje-svou-dominanci-motoriste-by-se-do-snemovny-nedostali-474877
NMS,2025-05-06,2025-05-12,FALSE,National,,1004,0.568,,0.1,0.303,,0.061,0.137,0.046,,0.028,,,0.099,,0.018,,,,,0.217,,,0.027,0.049,,,,,,,,,,,,,,,,,,,,,,,,,https://nms.global/cz/volebni-model-kveten-2025-spd-potvrdilo-dubnovy-narust-snemovnu-nemaji-jistou-motoriste-stacilo-ani-pirati/
Ipsos,2025-04-28,2025-05-04,FALSE,National,,1045,0.62,,0.1,0.344,,0.061,0.104,0.058,,0.018,,,0.098,,0.021,,,,,0.217,,,0.024,0.045,,,,,,,,,,,,,,,,,,,,,,,,0.011,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-05/Tiskova%CC%81%20zpra%CC%81va%20Ipsos_volebn%C3%AD%20model%20duben.pdf
Kantar,2025-04-17,2025-05-02,FALSE,National,"w/o SPOLU, SPD+",1200,,1017,0.5,0.35,0.14,0.06,0.08,,0.04,0.02,0.03,0.03,0.125,,0.015,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,0.05,https://ct24.ceskatelevize.cz/clanek/domaci/modelu-kantaru-pro-ct-dominuje-ano-spd-diky-memorandu-posililo-360843
Kantar,2025-04-17,2025-05-02,FALSE,National,,1200,,1025,0.5,0.35,,0.065,0.1,0.045,,0.02,,,0.125,,0.02,,,,,0.195,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,0.02,https://ct24.ceskatelevize.cz/clanek/domaci/modelu-kantaru-pro-ct-dominuje-ano-spd-diky-memorandu-posililo-360843
Median,2025-04-01,2025-04-30,FALSE,National,,1021,0.54,554,0.5,0.33,,0.055,0.11,0.05,,0.045,,,0.1,,,,,,,0.205,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,0.035,https://www.median.eu/cs/wp-content/uploads/2025/05/Volby_PS_2025_04-1.pdf
STEM,2025-04-04,2025-04-22,FALSE,National,,1596,0.59,,0.1,0.322,,0.059,0.116,0.058,,0.038,,,0.101,,0.024,,,,,0.195,,,0.026,0.054,,,,,,,,,,,,,,,,,,,,,,,,0.008,https://cnn.iprima.cz/exkluzivni-vyzkum-ano-zastavilo-pokles-spolu-stagnuje-velka-mela-je-na-prahu-snemovny-472863
NMS,2025-04-02,2025-04-09,FALSE,National,,1000,0.555,,0.1,0.281,,0.059,0.125,0.052,,0.025,,,0.122,,0.02,,,,,0.209,,,0.028,0.06,,,,,,,,,,,,,,,,,,,,,,,,,https://nms.global/cz/volebni-model-duben-2025-ano-dale-ztraci-preference-spd-s-podporou-trikolory-svobodnych-a-pro-rostou/
Kantar,2025-03-17,2025-04-04,FALSE,National,w/o SPOLU,1200,,1032,0.5,0.355,0.135,0.055,0.07,,0.045,0.02,0.03,0.03,0.12,,0.02,,,,,,,,0.02,0.065,,,,,,,,,,,,,,,,,,,,,,,,0.035,https://ct24.ceskatelevize.cz/clanek/domaci/ano-podle-kantaru-v-breznu-oslabilo-lehce-posililo-spolu-360004
Kantar,2025-03-17,2025-04-04,FALSE,National,,1200,0.8,1035,0.5,0.355,,0.06,0.07,0.045,,0.02,,,0.12,,0.02,,,,,0.19,,,0.02,0.065,,,,,,,,,,,,,,,,,,,,,,,,0.035,https://ct24.ceskatelevize.cz/clanek/domaci/ano-podle-kantaru-v-breznu-oslabilo-lehce-posililo-spolu-360004
STEM,2025-03-14,2025-04-01,FALSE,National,,1567,0.59,,0.1,0.314,,0.068,0.107,0.057,,0.036,,,0.113,,0.022,,,,,0.199,,,0.018,0.062,,,,,,,,,,,,,,,,,,,,,,,,0.005,https://cnn.iprima.cz/stem-volby-by-vyhralo-ano-spolu-a-stan-jej-spolecne-dohani-posiluji-spd-i-pirati-470936#/galerie-470936/1
Median,2025-03-01,2025-03-31,FALSE,National,,1025,0.57,585,0.5,0.325,,0.08,0.075,0.055,,0.025,,,0.13,,,,,,,0.185,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,0.04,https://www.median.eu/cs/wp-content/uploads/2025/04/Volby_PS_2025_03.pdf
Ipsos,2025-03-24,2025-03-28,FALSE,National,,1059,,,0.1,0.358,,0.058,0.098,0.051,,0.035,,,0.103,,0.01,,,,,0.209,,,0.014,0.05,,,,,,,,,,,,,,,,,,,,,,,,0.012,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-04/Tiskova%CC%81%20zpra%CC%81va%20Ipsos_volebn%C3%AD%20model%20b%C5%99ezen_02-04-2025.pdf
STEM,2025-02-21,2025-03-11,FALSE,National,,1579,,,0.1,0.337,,0.069,0.089,0.059,,0.027,,,0.106,0.018,0.016,,,,,0.173,,,0.029,0.053,,,,,,,,,,,,,,,,,,,,,,,,0.022,https://cnn.iprima.cz/exkluzivni-vyzkum-ano-lehce-oslabuje-spd-sili-do-snemovny-by-tesne-prosli-motoriste-468955#/galerie-0debf3c3/1
NMS,2025-02-28,2025-03-05,FALSE,National,,1013,,,0.1,0.313,,0.054,0.072,0.055,,0.023,,,0.138,0.016,0.016,,0.016,,,0.19,,,0.025,0.069,,,0.01,,,,,,,,,,,,,,,,,,,,,,https://nms.global/cz/volebni-model-brezen-2025-ano-mirne-ztratilo-stan-a-motoriste-posiluji-do-snemovny-by-se-dostalo-7-stran/
Ipsos,2025-02-24,2025-02-28,FALSE,National,,1035,0.63,,0.1,0.364,,0.051,0.075,0.048,,0.026,,,0.106,0.021,0.013,,0.006,,,0.206,,,0.02,0.048,,,0.011,,,,,,,,,,,,,,,,,,,,,0.003,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-03/Tiskova%CC%81%20zpra%CC%81va%20Ipsos_volebn%C3%AD%20model%20%C3%BAnor_5.3.2025_0.pdf
Kantar,2025-02-10,2025-02-28,FALSE,National,w/o SPOLU,1200,,1053,0.5,0.37,0.125,0.065,0.065,,0.035,0.015,0.035,0.03,0.125,,0.02,,,,,,,,0.01,0.06,,,,,,,,,,,,,,,,,,,,,,,,0.055,https://ct24.ceskatelevize.cz/clanek/domaci/preference-ano-podle-kantaru-rostou-ztraceji-spolu-pirati-i-motoriste-358816
Kantar,2025-02-10,2025-02-28,FALSE,National,,1200,,1051,0.5,0.375,,0.065,0.065,0.035,,0.015,,,0.125,,0.02,,,,,0.175,,,0.01,0.06,,,,,,,,,,,,,,,,,,,,,,,,0.08,https://ct24.ceskatelevize.cz/clanek/domaci/preference-ano-podle-kantaru-rostou-ztraceji-spolu-pirati-i-motoriste-358816
Median,2025-02-01,2025-02-28,FALSE,National,,1019,0.605,607,0.5,0.335,,0.06,0.07,0.065,,0.035,,,0.1,,,,0.02,,,0.185,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,https://www.median.eu/cs/wp-content/uploads/2025/03/Volby_PS_2025_02.pdf
STEM,2025-01-31,2025-02-18,FALSE,National,,1563,,,0.1,0.347,,0.059,0.081,0.057,,0.023,,,0.114,0.021,0.02,,,,,0.185,,,0.029,0.045,,,,,,,,,,,,,,,,,,,,,,,,0.019,https://cnn.iprima.cz/exkluzivni-model-vladni-strany-na-ano-stale-nestaci-dari-se-i-konecne-smulu-maji-motoriste-466909#/galerie-466909/2
NMS,2025-02-04,2025-02-09,FALSE,National,,1003,0.559,,0.1,0.345,,0.048,0.078,0.052,,0.028,,,0.122,0.019,0.019,,0.005,,,0.187,,,0.036,0.048,,,0.005,,,,,,,,,,,,,,,,,,,,,,https://nms.global/cz/volebni-model-unor-2025-ano-si-jde-pro-rekordni-pocet-mandatu-pirati-poprve-mimo-snemovnu/
Kantar,2025-01-13,2025-01-31,FALSE,National,w/o SPOLU,1200,,1026,0.5,0.335,0.13,0.075,0.065,,0.03,0.01,0.03,0.04,0.125,,0.015,,,,,,,,0.02,0.075,,,,,,,,,,,,,,,,,,,,,,,,0.06,https://ct24.ceskatelevize.cz/clanek/domaci/v-modelu-kantaru-vyrazne-sili-motoriste-vedouci-ano-a-druhe-spolu-lehce-oslabily-357905
Kantar,2025-01-13,2025-01-31,FALSE,National,,1200,,1019,0.5,0.335,,0.075,0.065,0.035,,0.01,,,0.125,,0.015,,,,,0.19,,,0.02,0.075,,,,,,,,,,,,,,,,,,,,,,,,0.065,https://ct24.ceskatelevize.cz/clanek/domaci/v-modelu-kantaru-vyrazne-sili-motoriste-vedouci-ano-a-druhe-spolu-lehce-oslabily-357905
Median,2025-01-07,2025-01-31,FALSE,National,,1041,0.63,654,0.5,0.33,,0.04,0.08,0.06,,0.035,,,0.11,,0.02,,0.025,,,0.17,,,0.02,0.08,,,,,,,,,,,,,,,,,,,,,,,,0.03,https://www.median.eu/cs/wp-content/uploads/2025/03/Volby_PS_2025_01.pdf
Ipsos,2025-01-24,2025-01-29,FALSE,National,,1006,0.63,,0.1,0.367,,0.05,0.057,0.055,,0.016,,,0.12,0.009,0.015,,0.007,,,0.205,,,0.019,0.054,,,0.016,,,,,,,,,,,,,,,,,,,,,0.009,https://www.ipsos.com/sites/default/files/ct/news/documents/2025-02/Tiskova%CC%81%20zpra%CC%81va%20Ipsos_volebn%C3%AD%20model%20leden_5.2.2025_web.pdf
STEM,2025-01-10,2025-01-28,FALSE,National,,1549,0.61,,0.1,0.351,,0.064,0.087,0.058,,0.028,,,0.106,0.016,0.021,,,,,0.188,,,0.021,0.041,,,0.01,,,,,,,,,,,,,,,,,,,,,,https://www.stem.cz/volebni-tendence-ceske-verejnosti-leden-2025-tydenni-model-tyden-04/
NMS,2025-01-09,2025-01-13,FALSE,National,,1002,0.569,,0.1,0.323,,0.061,0.069,0.051,,0.025,,,0.124,0.017,0.022,,0.011,,,0.171,,,0.04,0.059,,,0.017,,,,,,,,,,,,,,,,,,,,,,https://nms.global/cz/volebni-model-leden-2025-stan-se-zacina-priblizovat-ke-spolu-motoriste-sobe-na-novem-maximu/
STEM,2025-01-03,2025-01-07,FALSE,National,,1533,0.64,,0.1,0.339,,0.068,0.081,0.053,,0.029,,,0.094,0.015,0.019,,,,,0.184,,,0.03,0.05,,,0.019,,,,,,,,,,,,,,,,,,,,,0.019,https://www.stem.cz/volebni-tendence-ceske-verejnosti-leden-2025-tydenni-model-tyden-01/
Median,2024-11-21,2024-12-31,FALSE,National,w/o SPOLU,1015,0.61,622,0.5,0.335,0.115,0.06,0.045,,0.05,0.03,0.025,0.04,0.13,,0.02,,,,,,,,0.025,0.07,,,0.015,,,,,,,,,,,,,,,,,,,,,,https://www.median.eu/cs/wp-content/uploads/2025/01/Volby_PS_2024_12_v06VD.pdf
NMS,2024-12-03,2024-12-09,FALSE,National,,1001,0.56,,0.1,0.336,,0.059,0.079,0.052,,0.037,,,0.112,0.009,0.017,,0.016,,,0.183,,,0.023,0.053,,,0.013,,,,,,,,,,,,,,,,,,,,,,https://nms.global/cz/volebni-model-prosinec-2024-motoriste-sobe-posiluji-oslabuji-prisahu-vladni-volice-zatim-neoslovuji/
Median,2024-11-01,2024-11-30,FALSE,National,,1023,0.62,623,0.5,0.335,0.115,0.065,0.065,,0.065,0.04,0.025,0.045,0.1,,0.025,,,,,,,,0.02,0.065,,,,,,,,,,,,,,,,,,,,,,,,0.03,https://www.median.eu/cs/wp-content/uploads/2024/12/Volby_PS_2024_11_v06VD.pdf
NMS,2024-11-05,2024-11-12,FALSE,National,,1306,0.567,,0.1,0.353,0.1,0.057,0.07,,0.058,0.033,0.028,0.038,0.111,0.024,0.018,,0.007,,,,,,0.03,0.044,,,0.018,,,,,,,,,,,,,,,,,,,,,,https://nms.global/cz/volebni-model-listopad-2024-hnuti-ano-se-dale-vzdaluje-zbytku-stran-kscm-zpatky-ve-snemovne/
STEM,2024-10-31,2024-11-08,FALSE,National,w/ SPOLU,1081,0.62,,0.1,0.337,,0.059,0.089,,0.055,0.03,,,0.084,0.021,0.024,,0.006,,,0.211,,,0.026,0.041,,,0.011,,,,,,,,,,,,,,,,,,,,,0.006,https://www.stem.cz/volebni-tendence-ceske-verejnosti-listopad-2024/
Kantar,2024-10-21,2024-11-08,FALSE,National,,1200,,1003,0.5,0.37,0.15,0.07,0.07,,0.035,0.02,0.04,0.03,0.115,,0.02,,,,,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,0.055,https://ct24.ceskatelevize.cz/clanek/domaci/v-modelu-kantaru-posilili-pirati-na-ukor-stan-dal-dominuje-ano-355385
Kantar,2024-10-21,2024-11-08,FALSE,National,w/ SPOLU,1200,,997,0.5,0.37,,0.07,0.07,,0.035,0.02,,,0.12,,0.02,,,,,0.21,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,0.06,https://ct24.ceskatelevize.cz/clanek/domaci/v-modelu-kantaru-posilili-pirati-na-ukor-stan-dal-dominuje-ano-355385
Median,2024-10-01,2024-10-31,FALSE,National,,1018,0.595,607,0.5,0.335,0.12,0.065,0.05,,0.05,0.03,0.035,0.04,0.11,,,,,,,,,,0.035,0.06,,,0.02,,,,,,,,,,,,,,,,,,,,,0.03,https://www.median.eu/cs/wp-content/uploads/2024/11/Volby_PS_2024_10_v04VD.pdf
STEM,2024-10-02,2024-10-11,FALSE,National,,1093,0.59,,0.1,0.321,0.142,0.059,0.094,,0.053,0.026,0.027,0.037,0.106,0.016,0.011,,0.011,,,,,,0.046,0.032,,,0.007,,,,,,,,,,,,,,,,,,,,,0.012,https://www.stem.cz/volebni-tendence-ceske-verejnosti-rijen-2024/
Kantar,2024-09-30,2024-10-11,FALSE,National,,1200,,1019,0.5,0.355,0.145,0.05,0.065,,0.03,0.025,0.035,0.045,0.13,0.02,0.015,,,,,,,,0.03,0.025,,,,,,,,,,,,,,,,,,,,,,,,0.045,https://ct24.ceskatelevize.cz/clanek/domaci/modelu-kantaru-dominuje-ano-hnuti-stan-posililo-na-ukor-piratu-354144
Kantar,2024-09-30,2024-10-11,FALSE,National,w/ SPOLU,1200,,1002,0.5,0.365,,0.05,0.07,,0.03,0.025,,,0.14,0.02,0.015,,,,,0.2,,,0.03,0.025,,,,,,,,,,,,,,,,,,,,,,,,0.045,https://ct24.ceskatelevize.cz/clanek/domaci/modelu-kantaru-dominuje-ano-hnuti-stan-posililo-na-ukor-piratu-354144
NMS,2024-10-04,2024-10-09,FALSE,National,,1301,0.559,,0.1,0.329,0.122,0.068,0.075,,0.046,0.029,0.027,0.038,0.12,0.009,0.02,,0.014,,,,,,0.043,0.036,,,0.014,,,,,,,,,,,,,,,,,,,,,,https://nms.global/cz/volebni-model-rijen-2024-pred-branami-snemovny-je-rusno-hned-6-stran-se-pohybuje-okolo-hranice-5-hlasu/
Median,2024-09-01,2024-09-30,FALSE,National,,1020,0.545,534,0.5,0.33,0.115,0.085,0.07,,0.045,0.04,0.02,0.045,0.11,,0.02,,0.015,,,,,,0.045,0.035,,,0.02,,,,,,,,,,,,,,,,,,,,,0.005,https://www.median.eu/cs/wp-content/uploads/2024/10/Volby_PS_2024_09_v03VD.pdf
